default,amount,grade,years,ownership,income,age,y_pred,y_proba
233,1,6000,B,5.0,MORTGAGE,126000.0,45,1,0.74
234,1,5000,B,22.0,RENT,57000.0,26,1,0.92
235,0,2000,C,11.0,RENT,26500.0,37,0,0.3
236,0,10000,A,7.0,MORTGAGE,75000.0,26,0,0.09
237,0,4000,C,3.0,MORTGAGE,115000.0,29,0,0.12
238,1,10000,D,6.0,MORTGAGE,160000.0,36,1,0.96
239,0,8000,B,0.0,RENT,26000.0,22,0,0.1
240,1,8400,C,4.0,MORTGAGE,100000.0,23,1,0.9
241,1,10000,E,5.0,MORTGAGE,60000.0,23,1,0.97
242,0,22750,A,0.0,RENT,49404.0,35,0,0.07
243,0,4000,C,7.0,MORTGAGE,80000.0,23,0,0.12
244,1,4200,C,18.0,RENT,61512.0,27,1,0.84
245,1,12000,C,18.0,RENT,32000.0,24,1,0.98
246,0,33000,B,0.0,MORTGAGE,70000.0,27,0,0.12
247,1,2500,D,0.0,OWN,36000.0,28,1,0.87
248,0,11500,A,6.0,MORTGAGE,55000.0,26,0,0.16
249,0,5000,C,3.0,RENT,65000.0,23,0,0.12
250,1,4000,A,12.0,RENT,50582.0,22,1,0.78
251,0,3500,A,2.0,RENT,30720.0,29,0,0.18
252,0,15000,A,1.0,RENT,147000.0,34,0,0.27
253,1,14100,C,7.0,RENT,52000.0,22,1,0.89
254,0,20000,C,9.0,MORTGAGE,85000.0,23,0,0.26
255,1,3200,A,1.0,MORTGAGE,57000.0,22,1,0.75
256,1,900,C,3.0,RENT,12000.0,32,1,0.93
257,0,3000,A,2.0,RENT,38748.0,25,0,0.08
258,1,4800,E,3.0,RENT,15000.0,24,1,0.99
259,1,18000,C,4.0,RENT,132725.38,27,1,0.83
260,0,12000,B,5.0,MORTGAGE,112000.0,23,0,0.1
261,1,7200,B,4.0,RENT,45000.0,27,1,0.79
262,0,6000,E,2.0,RENT,36000.0,33,0,0.31
263,0,5000,B,8.0,RENT,74500.0,26,0,0.04
264,0,8000,B,3.0,RENT,36000.0,30,0,0.21
265,1,7000,C,5.0,MORTGAGE,74400.0,36,1,0.86
266,1,5500,C,1.0,MORTGAGE,24900.0,22,1,0.94
267,0,14000,B,0.0,RENT,42000.0,27,0,0.04
268,1,15600,D,21.0,MORTGAGE,87000.0,49,1,0.94
269,0,1925,B,0.0,RENT,30000.0,23,0,0.28
270,0,18000,B,5.0,RENT,84000.0,25,0,0.08
271,1,10000,A,4.0,MORTGAGE,61000.0,26,1,0.63
272,1,7500,C,1.0,RENT,40000.0,30,1,0.92
273,0,2000,A,0.0,MORTGAGE,67992.0,29,0,0.12
274,0,19550,D,0.0,RENT,130000.0,22,0,0.12
275,0,2500,A,3.0,OWN,26000.0,28,0,0.24
276,0,5000,A,1.0,MORTGAGE,100000.0,24,0,0.05
277,1,6000,B,2.0,MORTGAGE,44300.0,27,1,0.77
278,1,6500,B,6.0,RENT,21000.0,21,1,0.74
279,0,4000,A,6.086331901181525,OWN,33600.0,23,0,0.14
280,0,8000,A,6.0,MORTGAGE,125000.0,25,0,0.01
281,1,15450,C,7.0,RENT,120000.0,26,1,0.85
282,1,6000,D,2.0,MORTGAGE,56160.0,24,1,0.87
283,1,10000,B,12.0,MORTGAGE,36252.0,25,1,0.86
284,0,4800,A,1.0,RENT,27000.0,21,0,0.22
285,0,10000,C,13.0,MORTGAGE,75689.0,30,0,0.18
286,0,5000,A,2.0,MORTGAGE,80000.0,25,0,0.0
287,0,5000,B,24.0,MORTGAGE,93600.0,22,0,0.16
288,0,8000,A,18.0,MORTGAGE,65000.0,26,0,0.03
289,1,16000,B,14.0,MORTGAGE,61000.0,32,1,0.82
290,0,6000,D,0.0,RENT,71074.0,23,0,0.24
291,0,5000,A,6.0,RENT,60000.0,23,0,0.18
292,0,9000,D,3.0,RENT,70000.0,29,0,0.12
293,0,23000,C,0.0,MORTGAGE,120000.0,23,0,0.05
294,0,14000,C,31.0,RENT,78700.0,22,0,0.3
295,1,5000,A,4.0,OWN,18000.0,27,1,0.77
296,0,5500,C,1.0,MORTGAGE,9600.0,25,0,0.2
297,0,7000,C,3.0,RENT,36500.0,27,0,0.19
298,0,12000,A,2.0,RENT,64575.0,24,0,0.08
299,0,15000,B,4.0,MORTGAGE,67000.0,39,0,0.06
300,0,2800,B,7.0,RENT,24000.0,32,0,0.1
301,0,10800,C,2.0,RENT,55000.0,25,0,0.23
302,0,4800,C,5.0,RENT,39996.0,26,0,0.12
303,0,14500,A,11.0,MORTGAGE,64000.0,35,0,0.11
304,0,9600,B,2.0,MORTGAGE,55000.0,27,0,0.07
305,1,25000,C,11.0,MORTGAGE,73000.0,25,1,0.85
306,0,10000,B,1.0,OWN,55000.0,22,0,0.12
307,0,18000,A,1.0,MORTGAGE,48000.0,38,0,0.11
308,1,3000,D,5.0,RENT,60000.0,40,1,0.94
309,0,8400,B,7.0,MORTGAGE,28800.0,23,0,0.03
310,1,4000,B,2.0,RENT,39000.0,36,1,0.76
311,0,8000,B,3.0,MORTGAGE,54000.0,24,0,0.07
312,0,8000,B,25.0,MORTGAGE,109200.0,28,0,0.11
313,0,21000,B,17.0,RENT,110000.0,39,0,0.05
314,1,5000,B,6.086331901181525,RENT,38000.0,23,1,0.95
315,0,8000,C,5.0,RENT,55000.0,31,0,0.16
316,0,3600,B,0.0,RENT,110000.0,30,0,0.11
317,0,12000,E,3.0,RENT,50000.0,24,0,0.06
318,0,6000,C,0.0,RENT,33280.0,21,0,0.3
319,1,2300,C,4.0,RENT,68000.0,29,1,0.76
320,0,4075,A,0.0,RENT,19200.0,31,0,0.04
321,1,12375,B,2.0,MORTGAGE,39552.0,30,1,0.84
322,0,6350,A,0.0,MORTGAGE,36000.0,26,0,0.17
323,0,14500,A,11.0,RENT,100000.0,26,0,0.04
324,0,4200,C,6.0,OWN,48000.0,35,0,0.25
325,0,20000,D,27.0,MORTGAGE,121178.0,28,0,0.03
326,0,6925,B,6.0,RENT,25000.0,21,0,0.34
327,1,1000,D,0.0,OWN,17280.0,38,1,0.85
328,1,2000,B,4.0,MORTGAGE,55000.0,21,1,0.88
329,0,10000,B,16.0,MORTGAGE,32000.0,23,0,0.12
330,0,12000,A,4.0,MORTGAGE,70000.0,31,0,0.04
331,0,16750,B,4.0,RENT,33000.0,33,0,0.08
332,0,4000,C,4.0,OWN,15000.0,23,0,0.17
333,0,1050,A,6.0,MORTGAGE,61000.0,27,0,0.04
334,0,4000,A,17.0,OWN,25200.0,32,0,0.14
335,1,2500,B,2.0,OWN,20004.0,21,1,0.76
336,0,14000,D,4.0,RENT,46800.0,39,0,0.17
337,1,10000,C,0.0,RENT,44469.0,35,1,0.88
338,1,6000,B,2.0,RENT,46680.0,22,1,0.77
339,1,1000,D,20.0,RENT,48000.0,21,1,0.83
340,0,8000,D,3.0,RENT,60000.0,24,0,0.31
341,0,13000,A,0.0,RENT,90000.0,24,0,0.05
342,0,20000,C,3.0,MORTGAGE,160000.0,25,0,0.27
343,0,16000,B,13.0,RENT,90000.0,27,0,0.11
344,1,3000,B,0.0,RENT,13200.0,28,1,0.85
345,0,7125,A,1.0,MORTGAGE,36000.0,39,0,0.09
346,1,2500,B,7.0,OWN,15360.0,22,1,0.86
347,0,2050,A,16.0,OWN,50000.0,23,0,0.23
348,0,7600,A,13.0,MORTGAGE,100000.0,27,0,0.04
349,0,4800,A,6.0,MORTGAGE,35000.0,38,0,0.05
350,1,1600,C,3.0,MORTGAGE,28500.0,27,1,0.91
351,1,4800,D,4.0,RENT,63996.0,31,1,0.89
352,1,7475,A,3.0,OWN,53000.0,28,1,0.67
353,0,11000,B,8.0,RENT,45000.0,22,0,0.19
354,0,12000,B,1.0,RENT,60000.0,24,0,0.28
355,0,15600,B,0.0,RENT,69000.0,36,0,0.27
356,1,6000,C,0.0,RENT,35000.0,25,1,0.89
357,0,10000,B,2.0,RENT,165000.0,24,0,0.0
358,0,4500,A,0.0,RENT,36000.0,21,0,0.21
359,1,5000,C,2.0,OWN,32500.0,23,1,0.92
360,0,7200,B,2.0,MORTGAGE,105000.0,26,0,0.12
361,0,10000,C,5.0,MORTGAGE,39216.0,23,0,0.21
362,0,6000,B,7.0,MORTGAGE,39996.0,22,0,0.22
363,1,15000,C,31.0,RENT,75000.0,23,1,0.7
364,1,8000,B,4.0,MORTGAGE,62000.0,29,1,0.75
365,1,2500,B,4.0,RENT,70000.0,24,1,0.74
366,1,1500,C,3.0,RENT,40980.0,22,1,0.93
367,1,24000,D,5.0,MORTGAGE,135000.0,26,1,0.92
368,1,4500,B,21.0,RENT,62000.0,23,1,0.86
369,1,24175,B,9.0,MORTGAGE,95000.0,23,1,0.78
370,1,35000,C,16.0,RENT,70000.0,24,1,0.88
371,0,8000,B,14.0,MORTGAGE,42000.0,23,0,0.23
372,1,10000,B,4.0,RENT,36000.0,27,1,0.84
373,0,4200,A,5.0,RENT,30000.0,34,0,0.05
374,0,11200,D,5.0,RENT,42000.0,21,0,0.3
375,0,5000,B,3.0,MORTGAGE,54996.0,22,0,0.05
376,0,7300,A,5.0,RENT,50000.0,27,0,0.09
377,0,10000,B,7.0,OWN,60000.0,24,0,0.23
378,1,7000,C,2.0,RENT,14400.0,29,1,0.93
379,0,12000,A,3.0,MORTGAGE,72984.0,24,0,0.09
380,0,8000,C,16.0,MORTGAGE,60000.0,21,0,0.27
381,1,10000,C,0.0,RENT,60000.0,25,1,0.81
382,1,10000,E,1.0,MORTGAGE,60000.0,36,1,0.93
383,1,10000,A,8.0,MORTGAGE,96000.0,28,1,0.68
384,1,3200,D,3.0,RENT,18996.0,22,1,0.82
385,1,5000,D,4.0,OWN,33000.0,21,1,0.95
386,1,6000,C,2.0,RENT,48000.0,23,1,0.88
387,0,3600,A,9.0,RENT,32000.0,24,0,0.16
388,1,9700,B,1.0,RENT,56400.0,27,1,0.775
389,1,2050,C,23.0,MORTGAGE,33000.0,24,1,0.9
390,0,5000,C,0.0,RENT,48504.0,29,0,0.27
391,0,7500,A,5.0,RENT,38000.0,22,0,0.14
392,1,15000,C,8.0,RENT,31680.0,21,1,0.9
393,0,8000,B,0.0,RENT,27000.0,26,0,0.34
394,0,28000,D,8.0,OWN,140000.0,27,0,0.21
395,1,12000,A,2.0,RENT,30000.0,34,1,0.76
396,1,10000,A,23.0,RENT,70000.0,23,1,0.81
397,0,16525,C,9.0,RENT,70000.0,26,0,0.02
398,0,2400,C,4.0,RENT,67000.0,26,0,0.19
399,0,3000,B,10.0,RENT,58800.0,33,0,0.11
400,0,4000,A,4.0,MORTGAGE,115000.0,25,0,0.04
401,1,4500,A,8.0,MORTGAGE,28000.0,26,1,0.82
402,0,2000,B,1.0,RENT,80000.0,23,0,0.13
403,0,9000,B,3.0,RENT,74000.0,26,0,0.15
404,0,17000,B,11.0,RENT,96000.0,22,0,0.11
405,1,8000,D,4.0,RENT,62400.0,24,1,0.89
406,0,1400,A,6.086331901181525,OWN,8628.0,23,0,0.19
407,1,2400,C,5.0,RENT,99999.0,25,1,0.87
408,1,12800,D,2.0,MORTGAGE,141996.0,27,1,0.84
409,0,3000,A,11.0,RENT,67000.0,32,0,0.08
410,1,10800,A,38.0,MORTGAGE,51000.0,33,1,0.8
411,0,3000,A,6.086331901181525,MORTGAGE,16908.0,36,0,0.24
412,0,4000,B,1.0,RENT,78000.0,32,0,0.24
413,0,7400,D,2.0,MORTGAGE,71000.0,22,0,0.04
414,0,2200,B,8.0,RENT,70000.0,27,0,0.05
415,0,17000,C,5.0,RENT,37000.0,35,0,0.25
416,1,7000,B,7.0,RENT,44400.0,27,1,0.78
417,0,5000,A,1.0,RENT,52000.0,23,0,0.15
418,1,6000,B,3.0,RENT,39000.0,22,1,0.78
419,0,12000,D,16.0,MORTGAGE,62208.0,22,0,0.32
420,0,24000,E,0.0,RENT,53000.0,27,0,0.21
421,0,4800,B,19.0,MORTGAGE,108000.0,25,0,0.03
422,1,1600,C,2.0,OWN,57068.0,26,1,0.81
423,0,4200,B,2.0,RENT,31500.0,31,0,0.26
424,0,4000,C,0.0,RENT,48000.0,33,0,0.27
425,1,2400,C,2.0,RENT,30720.0,23,1,0.86
426,0,7500,D,15.0,MORTGAGE,105000.0,43,0,0.1
427,0,6000,B,0.0,RENT,90000.0,30,0,0.08
428,1,25000,D,1.0,MORTGAGE,101000.0,24,1,0.85
429,0,4800,C,0.0,RENT,65000.0,26,0,0.25
430,1,6400,D,5.0,RENT,75000.0,35,1,0.98
431,1,10000,D,6.0,MORTGAGE,75000.0,22,1,0.81
432,1,6000,B,1.0,RENT,48000.0,40,1,0.8
433,1,6500,C,1.0,RENT,40000.0,22,1,0.94
434,0,4500,C,2.0,RENT,39996.0,22,0,0.26
435,0,4800,A,6.086331901181525,RENT,89000.0,26,0,0.07
436,1,15000,E,11.0,MORTGAGE,170000.0,33,1,0.93
437,1,7500,B,0.0,RENT,40000.0,32,1,0.89
438,0,22000,B,5.0,MORTGAGE,100800.0,30,0,0.0
439,1,12000,B,3.0,RENT,75000.0,27,1,0.81
440,1,18000,G,16.0,MORTGAGE,300000.0,28,1,0.88
