default,amount,grade,years,ownership,income,age
1,10800,A,38,MORTGAGE,51000,33
0,3000,A,,MORTGAGE,16908,36
0,4000,B,1,RENT,78000,32
0,7400,D,2,MORTGAGE,71000,22
0,2200,B,8,RENT,70000,27
0,17000,C,5,RENT,37000,35
1,7000,B,7,RENT,44400,27
0,5000,A,1,RENT,52000,23
1,6000,B,3,RENT,39000,22
0,12000,D,16,MORTGAGE,62208,22
0,24000,E,0,RENT,53000,27
0,4800,B,19,MORTGAGE,108000,25
1,1600,C,2,OWN,57068,26
0,4200,B,2,RENT,31500,31
0,4000,C,0,RENT,48000,33
1,2400,C,2,RENT,30720,23
0,7500,D,15,MORTGAGE,105000,43
0,6000,B,0,RENT,90000,30
1,25000,D,1,MORTGAGE,101000,24
0,4800,C,0,RENT,65000,26
1,6400,D,5,RENT,75000,35
1,10000,D,6,MORTGAGE,75000,22
1,6000,B,1,RENT,48000,40
1,6500,C,1,RENT,40000,22
0,4500,C,2,RENT,39996,22
0,4800,A,,RENT,89000,26
1,15000,E,11,MORTGAGE,170000,33
1,7500,B,0,RENT,40000,32
0,22000,B,5,MORTGAGE,100800,30
1,12000,B,3,RENT,75000,27
1,18000,G,16,MORTGAGE,300000,28
0,4000,A,1,MORTGAGE,15456,31
1,22000,B,0,MORTGAGE,72500,23
0,4500,A,4,RENT,53000,40
0,25000,D,4,RENT,55000,23
1,5000,A,1,RENT,40000,45
0,5200,B,2,MORTGAGE,36000,24
1,9800,C,7,RENT,50000,23
0,25000,E,0,MORTGAGE,150000,28
0,8650,A,13,MORTGAGE,60000,28
0,1500,B,2,RENT,15600,21
1,6000,A,4,MORTGAGE,71000,25
1,10000,B,4,RENT,42000,22
1,13000,C,12,RENT,24000,21
0,2000,A,0,RENT,12000,23
0,11700,A,,MORTGAGE,77705.88,23
1,3000,A,0,RENT,28800,27
1,6400,D,19,MORTGAGE,50000,22
0,7000,C,0,RENT,50000,30
0,7000,A,1,MORTGAGE,65000,23
0,1925,B,7,OWN,69600,23
1,1500,A,2,RENT,24840,28
0,4500,A,2,RENT,44004,26
1,24250,D,0,RENT,120000,29
0,2350,A,7,RENT,40080,37
1,5325,B,,RENT,22000,21
0,30000,A,0,RENT,131000,21
1,6400,C,9,RENT,70775,28
1,7000,A,13,MORTGAGE,45000,22
1,18000,B,0,RENT,42480,43
0,8000,E,0,MORTGAGE,50000,25
0,7500,B,6,RENT,46800,26
1,6000,E,3,RENT,47500,23
1,4000,C,2,RENT,18000,24
1,2800,F,1,RENT,23000,22
1,21600,D,2,MORTGAGE,58600,27
1,9000,E,4,RENT,42000,35
0,8000,B,9,MORTGAGE,48000,26
0,9600,B,5,RENT,35000,25
0,18000,D,0,RENT,56000,52
1,11000,B,3,MORTGAGE,42000,26
0,2000,A,2,RENT,37000,24
0,8000,B,0,RENT,95000,25
0,12000,B,1,RENT,61000,27
0,9000,A,7,MORTGAGE,48800,24
0,11000,A,4,RENT,35000,29
0,2400,B,0,MORTGAGE,30000,21
1,12600,B,27,OWN,38000,30
0,9600,A,3,OWN,39000,27
0,18000,B,0,MORTGAGE,57408,30
1,10000,C,34,RENT,90000,31
0,14150,B,3,RENT,40000,29
0,12000,A,22,MORTGAGE,240000,29
1,1500,D,2,RENT,38004,41
1,15000,B,1,RENT,90000,26
1,12000,B,5,MORTGAGE,85248,25
0,10000,B,2,MORTGAGE,67145,22
1,15000,A,7,RENT,95600,23
0,6000,A,11,MORTGAGE,52000,28
1,7000,A,2,RENT,45000,22
0,14000,A,3,RENT,30000,34
0,9600,A,7,RENT,65450,24
1,3000,C,,RENT,36132,38
0,3800,C,0,RENT,19200,25
1,1000,A,4,MORTGAGE,30000,23
1,7500,D,2,RENT,91500,24
0,4500,B,0,RENT,45000,23
0,4000,C,20,OWN,36000,30
0,18000,A,6,RENT,80000,21
1,20000,B,6,RENT,60000,25
1,1600,D,13,RENT,39000,27
0,4075,A,0,RENT,19200,31
1,7500,D,7,MORTGAGE,56000,23
0,15000,B,19,RENT,42000,23
0,24000,D,7,MORTGAGE,98000,25
0,1950,B,,OWN,12000,47
0,10000,A,,MORTGAGE,61000,23
0,1000,B,3,OWN,16800,51
1,8400,C,6,MORTGAGE,152004,35
0,10000,A,0,MORTGAGE,135000,33
1,6600,A,0,OWN,32004,22
1,6000,A,5,RENT,35000,23
0,3000,A,2,RENT,40000,27
1,4800,B,6,RENT,44100,28
0,20000,A,5,MORTGAGE,189000,33
1,5500,B,20,RENT,57600,26
1,10000,A,5,MORTGAGE,108000,25
0,3000,A,9,RENT,84000,25
0,14500,A,14,OWN,44000,24
1,9600,C,7,RENT,37800,23
1,7150,D,17,RENT,64500,41
1,10000,A,1,MORTGAGE,57000,27
0,17000,D,3,RENT,92000,31
0,4500,A,1,MORTGAGE,57000,30
1,22350,E,1,OWN,135000,27
1,10000,B,7,RENT,30000,28
1,5000,B,9,MORTGAGE,65000,21
0,7200,D,2,RENT,85000,25
0,8000,B,5,RENT,50000,37
1,11400,E,4,MORTGAGE,55000,23
1,10000,A,1,RENT,25000,21
1,5050,C,5,MORTGAGE,62000,28
0,8800,A,3,RENT,60000,22
1,15000,C,0,MORTGAGE,73392,34
0,20000,B,9,MORTGAGE,85000,29
0,16000,C,2,RENT,45000,41
1,10000,G,2,MORTGAGE,108000,26
1,10000,C,7,OWN,30000,24
0,6000,D,0,RENT,26880,29
1,10000,B,0,MORTGAGE,18000,24
0,10000,A,0,RENT,70000,46
0,17000,D,0,RENT,90000,26
1,25000,D,2,RENT,50000,24
0,6000,B,,MORTGAGE,65000,26
1,8000,D,14,MORTGAGE,40000,38
0,7200,A,2,MORTGAGE,87000,27
0,8000,A,5,MORTGAGE,54000,24
1,2800,D,2,RENT,43200,25
0,3000,A,19,MORTGAGE,42000,22
0,8000,B,4,MORTGAGE,84996,30
0,20000,G,4,RENT,65000,29
0,4000,B,2,RENT,80000,25
1,12000,A,3,RENT,57000,24
0,25000,F,1,MORTGAGE,120000,24
0,16000,A,5,RENT,80000,27
0,8500,B,4,RENT,25000,25
1,15000,D,19,RENT,37000,22
0,5600,C,8,RENT,75797,31
1,8000,C,2,RENT,61700,26
0,27575,B,1,MORTGAGE,54000,27
1,12800,D,28,RENT,48200,22
1,8000,D,5,MORTGAGE,65000,29
1,1000,B,,RENT,10000,23
0,6400,C,2,RENT,35000,23
1,20000,E,6,MORTGAGE,145000,28
1,15000,C,0,RENT,81000,23
0,25000,D,2,RENT,52000,26
1,10875,C,9,RENT,41500,22
0,12000,A,4,RENT,75000,23
1,10000,B,14,OWN,78996,22
0,3000,B,8,RENT,32796,30
1,12000,D,4,MORTGAGE,60000,25
0,6000,A,,OWN,37404,27
1,5000,C,6,MORTGAGE,60000,41
1,10000,D,15,MORTGAGE,45000,29
1,20000,D,1,RENT,48000,22
1,6000,B,2,MORTGAGE,42000,26
0,2000,C,2,RENT,41000,27
0,4000,A,5,MORTGAGE,19200,26
0,10000,B,1,MORTGAGE,51000,32
0,18000,D,1,RENT,180000,30
0,8500,B,4,MORTGAGE,81400,22
0,9975,D,2,RENT,79000,40
0,2000,A,1,OWN,24000,32
0,12000,D,29,RENT,54000,29
1,7500,D,6,MORTGAGE,85000,34
0,5000,D,4,RENT,57996,24
1,15000,B,1,RENT,30000,31
0,1500,A,11,MORTGAGE,67386,28
0,14500,C,9,MORTGAGE,38000,34
0,18000,B,20,MORTGAGE,170000,29
1,7500,B,1,RENT,60000,22
1,10000,B,3,RENT,24000,24
1,8000,D,3,RENT,48000,23
0,12000,C,0,RENT,45000,29
0,7000,C,7,MORTGAGE,60000,22
0,8850,B,4,MORTGAGE,120000,35
0,25000,E,2,RENT,170000,40
0,20000,B,12,RENT,65000,39
0,20000,A,2,MORTGAGE,125000,33
0,15000,B,9,RENT,32000,22
0,4000,A,6,RENT,28000,25
0,11500,A,9,MORTGAGE,75000,24
0,4050,A,5,RENT,55000,34
0,12000,A,9,MORTGAGE,97000,28
0,8000,B,2,OWN,24996,29
0,5000,A,1,RENT,115000,24
0,14125,A,,OWN,30000,23
0,10000,D,2,RENT,30400,39
0,1000,B,23,MORTGAGE,87000,26
0,4500,B,8,RENT,38000,24
1,3500,B,,RENT,36000,23
0,4600,B,1,RENT,40000,23
1,10000,E,0,RENT,75000,24
0,8000,C,12,RENT,44000,26
0,7200,B,9,RENT,85000,32
1,4000,C,4,OWN,24000,27
1,26400,D,4,MORTGAGE,68000,21
1,7000,C,7,OWN,130000,29
1,12000,C,5,RENT,75000,23
1,1300,C,56,RENT,70000,24
0,17000,C,3,RENT,80000,28
0,5000,C,0,RENT,54860,23
1,4000,B,4,RENT,58800,26
0,12000,B,17,MORTGAGE,91234.2,22
1,25000,D,1,MORTGAGE,100000,21
0,10000,C,1,MORTGAGE,44000,25
0,6000,B,2,RENT,48000,25
1,10000,D,9,MORTGAGE,62920,22
0,5000,D,0,OWN,20800,24
1,25000,F,5,MORTGAGE,265000,25
0,12000,E,17,RENT,104000,25
0,12000,A,3,RENT,95000,24
0,12000,B,2,RENT,30000,44
0,5400,C,1,RENT,50725,34
1,20000,F,7,RENT,62000,28
0,2000,A,,OWN,16000,23
0,9000,B,0,RENT,52000,23
1,4750,E,0,MORTGAGE,31200,25
1,20000,C,12,MORTGAGE,140000,39
0,8500,A,3,MORTGAGE,78000,24
1,4000,D,5,MORTGAGE,25344,24
0,3000,C,0,RENT,36000,24
1,5000,B,4,RENT,36000,26
0,13250,B,4,RENT,35000,28
0,20000,B,9,RENT,52559,24
1,19600,D,13,MORTGAGE,67499,24
1,1000,B,6,RENT,28000,22
1,10000,B,1,RENT,50000,31
1,25000,B,28,RENT,55000,27
0,20000,A,4,RENT,66000,32
0,10000,A,14,RENT,28000,22
1,5000,D,9,RENT,21000,47
0,5000,B,0,RENT,38000,29
1,4200,B,,OWN,21600,26
1,12000,B,2,MORTGAGE,180000,26
1,7100,A,2,RENT,50400,23
1,10000,D,2,RENT,35400,31
0,12000,A,0,MORTGAGE,64000,24
1,1600,C,0,RENT,38400,24
1,3000,E,0,RENT,10800,36
0,7200,C,9,MORTGAGE,60000,26
1,20500,C,2,RENT,38400,31
1,8000,A,1,MORTGAGE,65004,28
1,32000,C,7,MORTGAGE,60000,33
0,5000,B,,MORTGAGE,284400,31
0,6500,B,0,RENT,30600,41
0,22000,C,5,MORTGAGE,60000,23
0,6000,A,11,RENT,41124,23
1,2000,C,1,MORTGAGE,79000,22
0,12500,B,4,MORTGAGE,125000,31
0,8400,A,1,MORTGAGE,62000,26
0,15000,C,18,RENT,60000,35
0,13750,C,0,MORTGAGE,160000,26
0,17200,D,6,RENT,90000,27
0,5000,B,1,RENT,40000,27
0,8500,D,3,OWN,50000,28
1,7500,D,2,RENT,28128,25
0,7500,A,47,MORTGAGE,83000,29
0,3000,A,4,RENT,49000,38
1,6200,G,1,RENT,19200,23
0,10000,B,4,MORTGAGE,29004,46
0,7000,B,2,RENT,27600,25
1,15000,B,0,OWN,70000,24
1,8600,B,45,MORTGAGE,50000,23
1,10000,D,7,RENT,50004,29
1,10000,C,3,MORTGAGE,30000,35
1,8000,C,9,RENT,35000,23
0,5000,B,5,RENT,71000,22
0,18500,C,2,MORTGAGE,52000,30
1,5500,A,6,MORTGAGE,48000,29
0,7200,B,18,MORTGAGE,40000,35
0,5000,D,4,RENT,57996,24
0,7750,E,3,RENT,41558,31
1,7500,D,5,OWN,67000,22
1,4750,B,13,OWN,22440,26
1,8000,C,1,RENT,35000,28
0,13000,B,20,MORTGAGE,51000,21
0,2500,B,6,RENT,26568,42
0,10000,A,5,RENT,53000,21
1,6000,E,4,RENT,91650,24
1,8500,C,2,RENT,45000,25
1,9500,D,4,MORTGAGE,36000,23
0,8450,C,2,RENT,100000,22
0,15000,B,2,MORTGAGE,60000,27
1,4000,C,2,MORTGAGE,52000,27
0,5500,B,5,RENT,24000,28
0,1000,A,6,MORTGAGE,98000,28
