default,amount,grade,years,ownership,income,age
0,7000,B,12,RENT,35000,24
0,9200,B,2,RENT,60000,27
0,12000,D,9,RENT,88365,28
0,12000,C,4,RENT,72000,28
0,12000,B,0,RENT,62000,28
0,7000,B,3,MORTGAGE,43680,27
0,10500,B,11,RENT,66000,31
0,7000,B,4,OWN,39120,23
0,3500,A,11,MORTGAGE,83000,27
1,6200,B,2,RENT,25000,36
0,6000,A,8,OWN,28800,26
0,7200,B,6,RENT,135000,25
0,9500,A,7,MORTGAGE,50000,27
0,24000,B,15,RENT,45000,40
0,6000,C,30,RENT,80000,32
0,6000,C,5,RENT,50000,29
0,2100,B,21,MORTGAGE,30000,48
0,5500,A,8,MORTGAGE,110000,25
0,11000,A,8,OWN,45608,26
0,8000,B,5,MORTGAGE,35000,35
1,10000,D,1,RENT,75000,24
0,8000,B,9,MORTGAGE,35000,24
0,10000,A,6,RENT,24000,33
0,12000,B,2,MORTGAGE,126000,28
0,10000,A,1,RENT,43000,37
0,12000,B,1,RENT,50000,26
1,19750,B,4,RENT,45000,42
0,10000,B,3,RENT,31200,25
0,13650,B,4,RENT,66000,45
0,18000,A,12,RENT,56964,29
0,2500,C,7,RENT,49500,22
0,35000,A,6,MORTGAGE,125000,23
0,10000,A,3,RENT,33000,25
0,7000,B,0,RENT,30000,23
1,24000,C,8,MORTGAGE,90000,24
0,10625,A,5,MORTGAGE,23000,22
0,5000,C,2,RENT,24000,37
0,8850,A,17,RENT,62000,24
0,6375,A,4,RENT,44000,25
0,6000,B,1,RENT,90000,27
1,11100,A,30,RENT,41000,38
0,6200,A,5,MORTGAGE,26500,44
0,15000,E,1,RENT,54000,26
0,4200,B,2,RENT,53000,35
0,14000,C,4,RENT,52800,23
0,8875,A,1,MORTGAGE,38000,26
0,13500,B,7,RENT,38000,21
1,12000,B,2,RENT,42000,24
0,6000,B,6,MORTGAGE,87000,24
1,10000,B,8,RENT,60000,46
0,12000,D,5,MORTGAGE,80000,26
0,7200,B,5,RENT,48000,22
1,5600,C,1,MORTGAGE,85000,24
0,12000,C,0,RENT,57000,23
0,8500,A,2,RENT,25000,23
0,8000,B,2,RENT,34000,22
0,8000,B,14,RENT,40000,25
0,15000,D,2,MORTGAGE,44400,23
0,10000,B,2,OWN,30000,32
0,10000,A,5,MORTGAGE,70000,23
0,8000,C,3,RENT,28000,25
0,22000,B,2,MORTGAGE,50000,22
0,6000,C,14,MORTGAGE,94800,23
1,2500,A,NA,OWN,12000,21
0,13500,B,2,MORTGAGE,36000,30
0,25000,B,2,RENT,225000,30
0,10000,C,2,RENT,45900,65
0,2500,C,4,RENT,27200,26
0,7325,B,1,RENT,42000,23
0,4000,B,5,RENT,135000,28
1,10000,C,5,RENT,65000,35
1,7750,D,0,RENT,24000,24
0,9600,B,11,RENT,65000,30
0,14000,B,3,RENT,30000,21
0,13350,B,19,RENT,43000,31
1,15000,D,17,RENT,42000,27
1,15000,D,8,RENT,75000,50
0,35000,B,2,MORTGAGE,168000,25
0,9000,B,9,MORTGAGE,74000,22
1,16000,B,1,RENT,58500,22
0,13500,B,5,RENT,71000,26
0,24000,B,13,RENT,75000,22
0,12000,B,5,RENT,60000,26
0,14000,A,31,RENT,66000,26
1,12000,C,8,MORTGAGE,70000,33
0,25000,B,12,MORTGAGE,1.00E+05,23
0,9000,B,5,RENT,50000,25
0,13250,B,4,RENT,35000,28
0,20000,C,6,RENT,75000,28
0,3000,C,5,RENT,71000,22
0,7350,B,16,MORTGAGE,48000,21
0,11500,C,5,RENT,36000,30
1,13650,B,16,MORTGAGE,86000,32
1,10500,D,3,RENT,30000,25
0,12000,B,2,RENT,60000,28
0,6000,A,3,RENT,34000,27
0,11500,C,25,MORTGAGE,44200,27
0,7000,B,7,MORTGAGE,82000,26
0,2000,C,2,RENT,41000,27
0,11625,C,0,MORTGAGE,36000,22
1,15075,C,14,RENT,35000,31
0,5300,C,1,RENT,30000,25
0,8200,A,0,RENT,40000,26
0,12000,B,9,MORTGAGE,105000,25
0,8650,C,4,MORTGAGE,45000,23
0,12000,B,2,RENT,83000,31
1,9500,B,0,MORTGAGE,52500,22
0,7400,C,0,OWN,25000,26
0,14400,C,19,MORTGAGE,60000,28
1,7200,A,3,RENT,68000,23
0,4000,A,0,RENT,65000,24
0,1500,D,11,MORTGAGE,144000,24
0,19600,B,2,RENT,75000,22
0,2500,B,7,MORTGAGE,29000,54
1,10000,B,2,RENT,70000,22
0,10000,A,5,RENT,45000,21
0,4225,B,5,MORTGAGE,55200,25
0,3500,A,7,MORTGAGE,61440,35
0,12000,A,27,MORTGAGE,56000,24
0,16500,A,0,RENT,47000,26
0,12000,C,1,RENT,71000,29
0,10800,B,8,RENT,135000,28
0,14000,B,12,MORTGAGE,63000,25
0,6000,C,5,MORTGAGE,50000,35
0,12000,B,5,RENT,80000,24
0,10000,B,4,RENT,45000,29
0,8000,A,2,RENT,78000,31
0,14125,B,1,RENT,33000,25
0,14000,B,5,RENT,62800,24
0,4000,E,19,MORTGAGE,80000,25
1,4000,B,2,RENT,25000,22
0,10500,A,12,MORTGAGE,65000,23
0,5500,A,23,OWN,59000,34
0,7350,B,1,RENT,33000,24
1,10000,B,10,RENT,39000,22
0,12000,A,13,RENT,42000,32
0,4500,A,20,MORTGAGE,50700,24
0,18000,B,1,OWN,75000,29
0,12000,C,6,RENT,40000,24
0,10000,C,10,MORTGAGE,50000,25
0,6000,A,7,MORTGAGE,80000,25
0,12000,B,4,RENT,40000,27
1,12000,A,7,RENT,80000,30
0,7000,B,2,RENT,75000,29
0,1400,A,1,RENT,28800,29
0,3200,B,9,RENT,61200,26
0,8000,A,1,RENT,40000,22
0,5000,A,9,MORTGAGE,54000,22
0,1800,A,16,RENT,18000,21
0,35000,A,5,RENT,85000,37
0,18000,A,5,RENT,78000,34
1,14000,A,11,OWN,45600,23
0,5000,B,2,RENT,70000,38
0,8000,C,4,RENT,70000,25
0,10000,A,9,MORTGAGE,80000,24
0,10000,A,5,RENT,50000,23
0,12000,B,10,MORTGAGE,35000,23
0,23200,A,3,MORTGAGE,65000,31
0,4800,C,29,MORTGAGE,75000,25
0,7300,B,6,RENT,35000,29
0,10400,B,6,RENT,40000,25
0,6600,B,1,MORTGAGE,1.00E+05,24
0,12000,A,7,OWN,40000,21
0,13250,D,11,RENT,52000,29
0,12000,B,3,RENT,92500,26
0,25000,B,9,RENT,61000,28
0,6000,B,16,RENT,36000,25
0,12000,A,18,MORTGAGE,68000,23
0,14400,B,1,RENT,80000,22
0,10000,B,15,RENT,43000,27
0,8000,B,1,RENT,150000,28
1,8000,D,5,RENT,50000,21
0,13250,B,2,OWN,35000,37
0,14000,C,6,RENT,80000,34
0,10000,D,15,RENT,40000,38
0,4000,A,1,RENT,55000,45
0,13000,B,6,RENT,110000,40
0,28000,B,5,RENT,1.00E+05,25
0,10000,C,3,RENT,62000,23
0,20000,A,0,RENT,45000,22
0,18000,B,5,RENT,110000,27
0,10000,B,3,RENT,33000,26
0,4200,A,3,RENT,61000,23
0,24000,D,2,RENT,50964,21
0,4475,C,3,RENT,43680,28
0,12000,B,5,RENT,50700,29
1,5000,B,2,RENT,30000,26
0,3000,A,5,RENT,50000,25
1,12000,B,17,RENT,55000,45
0,20000,C,13,MORTGAGE,50000,25
0,10000,C,3,RENT,84000,25
0,15000,B,6,OWN,155000,32
0,12000,A,0,MORTGAGE,62000,26
0,6300,B,2,RENT,30000,21
1,10000,B,5,RENT,32000,42
1,24000,A,17,MORTGAGE,116400,32
0,14400,B,9,MORTGAGE,40000,22
0,6000,C,7,RENT,34000,32
0,22000,C,5,MORTGAGE,73000,22
1,12000,B,17,RENT,57200,28
0,16000,D,0,MORTGAGE,114000,33
0,10000,B,14,MORTGAGE,90000,29
1,10000,B,2,RENT,35000,27
0,3500,C,7,RENT,56000,23
0,9600,B,5,RENT,35000,25
0,9875,A,15,MORTGAGE,40000,22
0,4800,A,6,RENT,48000,23
0,7800,A,12,OWN,85000,30
0,20000,C,11,MORTGAGE,70000,26
1,9750,A,4,RENT,35000,27
0,5000,A,9,MORTGAGE,30000,25
0,9000,C,4,RENT,45000,28
0,7200,A,1,RENT,55000,25
0,25000,C,8,OWN,82000,24
0,10000,C,13,RENT,53000,33
1,8875,B,5,MORTGAGE,35360,25
0,15550,B,13,RENT,54000,23
0,7500,B,5,RENT,65000,29
0,8875,A,6,OWN,28800,22
0,4500,D,1,RENT,42000,21
0,5800,B,3,RENT,36000,27
0,10000,B,2,RENT,40000,21
0,10000,B,4,RENT,50000,35
0,14000,B,1,RENT,52000,39
1,12000,A,3,RENT,32000,29
0,24000,A,6,OWN,75000,23
0,14000,C,0,RENT,80000,23
0,12000,A,7,MORTGAGE,40246,38
1,8050,B,1,RENT,36000,22
0,5600,B,6,RENT,60000,22
0,7500,B,3,RENT,31200,22
0,7000,B,15,RENT,90000,35
0,5400,A,4,RENT,40000,29
0,16000,B,1,RENT,90000,27
0,9800,D,4,RENT,67000,39
0,5000,A,1,RENT,276000,28
0,9900,B,6,RENT,26400,22
0,4000,B,NA,RENT,24000,25
0,15000,B,3,MORTGAGE,68400,31
0,6250,C,1,RENT,29120,25
0,6400,D,0,RENT,29120,25
0,12000,C,4,MORTGAGE,54000,32
0,15000,A,5,MORTGAGE,30000,28
0,6500,C,4,MORTGAGE,30000,25
0,8000,C,16,RENT,50000,24
0,15000,C,11,MORTGAGE,100500,27
0,10200,C,3,RENT,40000,26
0,9000,B,5,MORTGAGE,47000,28
0,6500,D,3,MORTGAGE,68000,25
0,2000,A,4,RENT,39600,27
0,8000,C,3,OWN,30000,22
0,8875,A,1,RENT,30000,25
1,1500,E,0,RENT,17000,21
0,8000,B,3,RENT,42000,31
0,6500,B,4,RENT,42000,20
0,9600,C,3,MORTGAGE,27000,21
0,10000,A,5,MORTGAGE,46000,40
0,15000,B,17,MORTGAGE,80000,23
0,9000,A,3,MORTGAGE,45000,25
0,10000,A,2,RENT,72500,36
1,1000,C,NA,RENT,18408,51
0,14000,A,2,RENT,30000,24
1,8500,C,9,RENT,50000,25
0,4500,C,5,MORTGAGE,65000,28
0,3000,A,18,MORTGAGE,65000,27
0,10000,B,4,MORTGAGE,120000,25
0,7200,C,4,RENT,54990,25
0,23000,A,2,MORTGAGE,137000,50
0,7000,A,1,RENT,46000,34
0,21000,B,8,MORTGAGE,135000,24
0,8250,A,NA,MORTGAGE,31500,25
0,13000,B,13,RENT,65000,31
0,18000,A,2,MORTGAGE,78000,29
0,7200,A,5,MORTGAGE,60000,31
0,16500,A,11,RENT,48000,22
0,8125,A,0,RENT,25000,21
0,18800,A,3,MORTGAGE,82000,35
0,26800,E,13,MORTGAGE,82000,42
0,19200,A,5,MORTGAGE,42000,24
0,4000,B,5,MORTGAGE,38000,23
0,4000,D,4,RENT,35000,25
0,12000,B,13,OWN,33000,22
0,2625,B,11,MORTGAGE,52800,23
0,7000,B,17,RENT,73882,39
0,11300,B,7,MORTGAGE,36000,23
0,4000,B,19,MORTGAGE,130000,30
0,8000,A,24,MORTGAGE,57200,21
1,14400,D,5,RENT,51871,24
0,4375,B,2,OWN,15000,28
0,4100,A,9,MORTGAGE,70197,32
0,6000,A,7,RENT,47000,24
0,4000,A,6,MORTGAGE,120000,44
1,3000,B,13,MORTGAGE,86004,25
0,5400,B,12,MORTGAGE,75000,23
1,15000,D,1,RENT,110000,60
0,10400,B,4,RENT,44000,24
0,11500,B,0,RENT,38500,27
0,10000,A,4,RENT,75000,24
0,3600,A,11,RENT,55000,25
1,10000,D,8,RENT,68000,32
0,15000,D,17,MORTGAGE,66000,24
0,8000,B,8,RENT,85000,28
1,16000,A,1,RENT,51000,51
0,8000,B,2,RENT,55000,23
0,7200,A,19,MORTGAGE,47000,41
0,12000,A,4,RENT,86000,27
1,2200,C,11,OWN,48000,24
0,6000,A,2,MORTGAGE,50000,24
0,14400,C,2,RENT,42996,22
0,14050,A,3,MORTGAGE,120000,33
0,6000,C,17,OWN,62691,38
0,10525,A,4,RENT,49668,29
0,7200,C,2,RENT,30000,31
0,12000,C,14,MORTGAGE,40000,26
0,12000,B,5,MORTGAGE,1.00E+05,39
0,3000,B,2,RENT,56312,33
0,9500,D,10,RENT,54011,26
0,19775,B,2,RENT,49110.32,30
0,30000,B,2,RENT,80000,29
0,16000,B,9,MORTGAGE,55000,30
0,14500,C,8,RENT,90000,33
0,4150,B,4,RENT,1.00E+05,23
0,24000,D,6,RENT,70000,53
1,21250,B,5,RENT,37000,22
0,10000,C,34,OWN,75000,30
0,4000,C,6,RENT,39000,30
0,15000,B,0,RENT,60000,22
0,3600,C,3,RENT,40000,23
1,15000,C,11,RENT,60000,23
0,12375,A,6,RENT,42000,26
1,4000,B,6,RENT,30000,27
0,13000,B,16,MORTGAGE,50000,22
0,5000,A,1,MORTGAGE,39396,22
0,5000,C,7,OWN,98000,31
0,26000,B,16,RENT,62500,23
0,8000,A,21,RENT,32400,22
1,1700,A,NA,MORTGAGE,37800,34
0,16000,B,11,RENT,50000,35
1,12000,C,6,RENT,54400,22
0,7000,B,7,MORTGAGE,72800,27
1,13000,D,14,RENT,28000,26
0,18000,C,8,MORTGAGE,96000,30
0,10000,D,3,RENT,83200,22
1,11200,B,3,RENT,75000,30
0,7000,B,3,RENT,52000,23
0,8000,A,6,RENT,57600,41
0,12000,D,2,RENT,95000,23
0,22000,C,0,RENT,58000,25
0,6200,B,18,MORTGAGE,24000,36
0,15900,B,9,MORTGAGE,58000,29
0,5000,A,NA,MORTGAGE,70000,26
0,16000,A,3,MORTGAGE,104000,33
0,5000,B,4,RENT,35000,24
0,3150,C,5,RENT,53000,36
1,12000,C,2,RENT,28000,23
1,28000,A,4,MORTGAGE,118000,24
0,5000,B,0,RENT,40000,23
0,3000,B,NA,MORTGAGE,42000,25
1,3000,A,11,MORTGAGE,65000,27
0,8400,A,2,RENT,25000,22
0,7000,B,14,MORTGAGE,36000,30
0,2000,B,1,MORTGAGE,231252,27
1,8575,D,NA,MORTGAGE,32000,28
0,10000,A,6,RENT,66000,27
0,25000,E,2,MORTGAGE,92000,29
0,8000,B,13,RENT,70000,24
0,25000,B,8,MORTGAGE,76896,23
0,2000,B,24,RENT,24000,24
0,16800,C,2,RENT,60000,22
0,8000,A,3,MORTGAGE,120000,32
1,11000,A,4,MORTGAGE,80000,26
1,5000,D,6,MORTGAGE,85000,33
0,18000,D,12,OWN,140000,28
1,10000,B,6,OWN,36000,30
0,5000,B,0,RENT,70000,34
0,10000,D,4,RENT,51360,22
0,25000,B,4,RENT,163000,29
0,2400,B,4,MORTGAGE,59393,24
1,3000,D,4,MORTGAGE,65000,25
1,7700,D,3,RENT,29772.96,23
0,2400,C,0,OWN,12996,23
0,5000,B,1,OWN,44475,24
0,14000,D,11,MORTGAGE,88000,31
0,2400,B,3,MORTGAGE,36000,30
0,1800,B,7,RENT,117000,27
1,22200,E,2,RENT,160000,30
1,13000,A,10,RENT,28000,25
0,8000,B,5,RENT,48000,23
1,3600,B,12,MORTGAGE,60000,26
0,9400,B,2,RENT,45500,26
0,9600,C,6,MORTGAGE,156000,26
0,17000,B,1,RENT,40000,22
0,10800,C,6,MORTGAGE,110000,42
0,6000,A,16,RENT,59400,24
0,35000,A,16,MORTGAGE,106000,22
0,10000,B,7,RENT,36000,26
0,5000,B,2,RENT,25000,26
1,7100,C,1,RENT,33000,25
0,12000,D,13,MORTGAGE,93000,25
0,5825,B,8,RENT,50000,23
1,22250,B,2,RENT,41000,23
0,6000,B,4,RENT,30000,22
1,7650,B,5,RENT,57000,23
0,13200,A,6,MORTGAGE,62500,21
0,12000,A,0,RENT,60000,21
0,15000,A,7,RENT,60000,26
0,12800,B,1,MORTGAGE,99600,25
0,27575,B,1,MORTGAGE,54000,27
0,7000,B,8,RENT,49000,31
0,10000,C,4,RENT,44160,23
0,14125,A,5,RENT,32000,23
0,12000,A,0,MORTGAGE,94500,35
0,9575,A,3,RENT,19498,27
1,12000,C,9,MORTGAGE,88000,31
0,10000,B,4,RENT,45000,25
0,10000,C,1,RENT,37500,25
0,24000,B,4,RENT,120000,22
0,14575,B,7,RENT,35000,26
0,9000,A,0,MORTGAGE,50000,28
1,10000,C,15,RENT,30000,46
0,7125,D,7,RENT,25279.67,23
0,13000,C,6,RENT,65000,24
1,21600,D,2,MORTGAGE,58600,27
0,7000,B,15,RENT,85000,26
0,7000,A,5,RENT,45000,26
0,3600,D,7,MORTGAGE,44004,22
0,3500,B,11,MORTGAGE,84996,36
0,5000,A,6,RENT,33000,29
0,10000,B,5,MORTGAGE,60000,23
0,4500,C,0,OWN,19200,36
0,12000,B,14,RENT,62000,30
0,10700,B,4,RENT,68000,26
0,6000,B,1,RENT,30000,22
0,20000,A,14,RENT,50000,54
0,3600,C,1,RENT,40000,24
0,6000,A,13,RENT,83954,23
0,10375,C,5,RENT,35000,27
0,25000,A,4,RENT,60000,31
0,10000,D,4,RENT,40000,27
0,5600,A,NA,OWN,41100,24
0,6000,B,4,RENT,92000,23
0,8000,A,2,RENT,75000,23
0,10000,B,4,MORTGAGE,45000,23
0,11000,A,8,RENT,48000,25
0,5000,B,6,MORTGAGE,110000,29
0,6500,B,0,RENT,30600,41
0,12000,B,4,RENT,45000,23
0,21000,A,24,MORTGAGE,150500,39
0,8400,D,2,RENT,32000,21
0,7000,B,5,RENT,37500,23
1,12000,B,0,RENT,60000,23
1,7200,B,2,RENT,33000,29
0,12000,B,12,RENT,70000,24
0,3050,B,1,RENT,16800,22
0,9000,C,1,RENT,38000,35
1,10000,B,5,OWN,35000,21
0,10000,B,0,MORTGAGE,95000,23
1,10000,C,14,MORTGAGE,77400,29
0,8500,D,0,RENT,61000,29
0,27000,B,5,OWN,140000,29
0,4000,C,9,RENT,32400,26
0,7300,B,4,RENT,50000,21
0,18000,A,9,MORTGAGE,70000,31
0,5000,B,22,OWN,35000,23
0,10000,C,57,MORTGAGE,115000,23
0,3000,A,4,RENT,45000,25
0,28000,C,5,MORTGAGE,235000,27
0,10000,C,5,RENT,36000,29
0,12000,A,5,RENT,26000,24
0,10000,D,3,RENT,80000,29
0,11000,A,1,RENT,50000,22
0,10000,C,27,RENT,55000,22
0,5000,A,5,MORTGAGE,55000,27
0,5000,A,3,RENT,64424,21
0,5000,A,16,RENT,56000,34
1,6000,C,7,RENT,30000,22
0,5000,C,4,MORTGAGE,111740,29
0,20050,D,7,RENT,67500,27
1,7000,D,0,RENT,41000,37
0,25000,B,33,RENT,120000,24
1,3000,B,10,RENT,30000,23
0,8400,D,16,RENT,41500,26
0,5000,B,12,MORTGAGE,75000,26
0,12000,B,12,RENT,42000,31
1,13200,B,2,MORTGAGE,41600,32
0,6000,A,1,RENT,48000,31
0,10000,A,8,MORTGAGE,50000,30
0,6500,B,2,RENT,53000,22
0,10000,A,2,MORTGAGE,65000,29
0,12000,B,2,RENT,85000,27
0,10000,C,21,RENT,55000,27
0,12375,C,20,RENT,36000,36
0,10000,B,1,RENT,26000,22
0,4400,E,7,RENT,80000,24
0,25000,C,4,MORTGAGE,80000,25
1,14125,B,NA,MORTGAGE,45696,22
1,18000,C,0,OWN,66000,26
0,35000,D,7,MORTGAGE,1.00E+05,23
0,35000,C,1,MORTGAGE,123000,37
0,7200,C,9,MORTGAGE,60000,26
0,4000,B,3,RENT,80000,27
0,7000,A,29,RENT,31000,25
0,15000,C,4,MORTGAGE,90000,41
0,7200,A,5,RENT,34000,22
0,13000,D,25,RENT,36000,24
0,28000,A,4,RENT,65000,27
0,12000,B,8,RENT,35000,27
0,14000,A,5,RENT,62004,41
0,11500,B,19,RENT,74000,29
0,10500,C,1,MORTGAGE,42000,22
0,14400,B,5,OWN,48000,33
0,16000,B,7,RENT,65000,21
0,5375,B,2,RENT,15360,28
0,12000,C,11,MORTGAGE,61000,22
1,12000,A,0,RENT,83000,23
0,17000,A,2,MORTGAGE,120000,27
1,13000,E,5,RENT,42000,31
1,7125,A,0,MORTGAGE,30000,21
0,8000,C,1,RENT,72100,31
0,12500,B,3,RENT,58000,28
0,10000,C,4,RENT,40000,22
0,14000,B,3,RENT,48880,29
0,7500,A,5,RENT,48000,37
0,19200,B,9,MORTGAGE,40000,28
0,9000,B,7,MORTGAGE,110000,35
0,20000,A,3,RENT,65000,29
0,9000,C,7,MORTGAGE,50000,21
1,9600,A,10,RENT,55000,25
0,1000,C,8,RENT,35100,24
1,15000,C,6,RENT,38000,21
0,12000,D,6,RENT,38000,21
0,14000,A,7,MORTGAGE,108000,36
0,10000,B,4,RENT,45000,22
0,7200,B,1,RENT,23000,24
0,11000,B,4,RENT,32000,23
0,9600,A,3,RENT,55000,22
0,10000,D,4,RENT,35000,28
0,11000,B,5,MORTGAGE,74000,43
0,5000,A,8,OWN,30000,33
1,6000,B,1,RENT,37000,23
0,3000,C,3,RENT,105000,32
0,17000,B,24,OWN,80000,41
0,5000,B,11,MORTGAGE,35000,29
0,6400,A,6,OWN,23000,39
0,13000,D,7,RENT,50000,23
0,10000,D,1,RENT,38200,25
0,5000,C,11,RENT,56000,24
0,7200,A,0,RENT,38000,23
0,15000,A,3,RENT,43000,30
0,9600,B,2,MORTGAGE,105000,25
0,6000,B,19,RENT,24000,22
0,6000,C,0,MORTGAGE,57600,30
0,7150,B,1,RENT,50000,26
0,32000,A,2,RENT,120000,25
1,8000,C,2,OWN,108000,22
0,7000,A,0,RENT,97600,42
0,12000,A,32,MORTGAGE,70800,41
0,10400,C,12,RENT,45000,27
0,12000,B,2,RENT,60000,23
0,16000,D,33,MORTGAGE,74000,27
0,4500,B,2,RENT,91500,29
0,5000,B,2,RENT,42500,22
0,3600,D,6,RENT,45000,28
0,21000,C,26,MORTGAGE,103000,24
0,7000,C,2,RENT,42000,22
0,15000,A,1,RENT,35000,29
0,2250,C,6,RENT,16000,23
0,17050,B,14,MORTGAGE,53000,28
0,16500,D,2,RENT,110000,26
0,3250,B,0,RENT,16000,24
0,7000,A,4,MORTGAGE,38400,37
0,24000,B,3,MORTGAGE,80000,23
0,13200,D,6,RENT,80952,26
0,22750,A,6,OWN,65000,42
0,12000,A,17,RENT,70000,25
0,30000,B,7,MORTGAGE,175000,26
1,1200,B,8,RENT,34000,21
0,4800,A,0,RENT,35000,26
0,7200,A,12,RENT,35000,25
0,15000,B,2,OWN,35000,28
0,10500,C,10,RENT,60000,28
1,5000,A,0,MORTGAGE,66000,26
0,4000,A,3,MORTGAGE,62000,23
0,27000,B,8,MORTGAGE,130000,30
0,15000,B,7,MORTGAGE,61000,41
0,2400,C,1,OWN,25000,22
0,5900,B,2,RENT,14400,21
0,5000,B,6,RENT,70000,30
1,13250,D,7,RENT,35000,31
0,20000,B,1,MORTGAGE,125000,25
0,18000,A,12,MORTGAGE,80000,24
0,19200,D,0,RENT,87500,34
0,7000,B,12,MORTGAGE,22000,22
0,10000,A,7,MORTGAGE,70000,30
0,2250,C,NA,MORTGAGE,17352,22
0,23000,B,9,RENT,63208,25
0,6750,D,2,RENT,48000,25
0,10000,B,6,MORTGAGE,45500,29
0,5600,A,0,RENT,19200,24
0,4800,A,3,OWN,35000,26
1,10000,B,5,RENT,29406,26
1,2200,B,8,RENT,26004,23
1,24000,B,1,RENT,120000,24
0,16000,A,0,MORTGAGE,110000,27
0,10000,B,15,RENT,34000,21
1,10625,C,16,RENT,26500,30
0,9600,C,2,RENT,40000,24
1,7200,F,0,MORTGAGE,88800,23
0,12000,A,6,RENT,1.00E+05,58
0,5000,B,3,RENT,45000,22
0,12000,D,9,RENT,36000,35
0,18000,D,22,RENT,80000,43
0,10000,B,3,RENT,50000,23
0,10000,B,10,RENT,75000,24
0,26000,A,8,MORTGAGE,105000,30
0,17475,B,3,RENT,45408,21
0,10000,B,3,RENT,67500,35
0,17250,E,4,RENT,60000,35
0,10000,A,2,MORTGAGE,65000,26
0,20000,B,2,MORTGAGE,55000,22
0,24000,A,4,RENT,65000,30
0,15000,A,3,MORTGAGE,75000,28
1,10625,B,0,RENT,30000,26
0,8400,C,0,RENT,30000,23
0,16000,C,12,MORTGAGE,60000,35
0,15000,C,3,MORTGAGE,35000,24
0,13225,B,5,MORTGAGE,65000,27
0,11775,C,1,RENT,44400,22
0,10075,B,2,MORTGAGE,46000,24
0,10000,C,0,RENT,62000,23
0,14000,B,4,MORTGAGE,88000,27
1,13000,B,10,RENT,50000,33
0,15000,B,6,RENT,75000,24
0,9350,A,5,MORTGAGE,1.00E+05,36
0,18225,B,4,RENT,40000,38
0,3600,A,8,MORTGAGE,88824,37
0,5000,D,10,OWN,40000,22
0,6400,D,16,RENT,50000,32
0,35000,A,3,MORTGAGE,114054,40
0,18000,B,6,MORTGAGE,70000,30
0,15625,A,20,MORTGAGE,45000,45
0,24000,C,24,RENT,77000,54
1,5000,C,5,MORTGAGE,61400,21
0,7200,B,1,RENT,90000,26
1,5000,C,22,RENT,32000,25
0,6600,B,2,RENT,42000,25
0,7000,A,NA,MORTGAGE,24000,30
0,20000,C,0,RENT,130000,25
1,8000,B,4,RENT,35000,24
0,12000,B,6,RENT,70000,42
0,20000,B,7,RENT,67000,34
0,10000,A,11,RENT,31000,22
0,10000,B,5,MORTGAGE,145000,23
0,18000,D,2,RENT,66000,26
0,4000,B,7,RENT,1.00E+05,29
0,15000,B,NA,RENT,60000,37
0,24000,D,14,OWN,103000,24
0,5375,B,5,MORTGAGE,42000,28
0,8300,A,44,RENT,50000,21
0,7000,A,5,OWN,50000,23
