still_in_beta,bugs_solved_3_months,bugs_solved_6_months,bugs_solved_9_months,num_test_accounts_internal,time_needed_to_ship,num_test_accounts_external,min_installations_per_account,num_prod_installations,ready_for_enterprise,perf_dev_index,perf_qa_index,sev1_issues_outstanding,potential_prod_issue,ready_for_startups,ready_for_smb,sales_Q1,sales_Q2,sales_Q3,sales_Q4,saas_offering_available,customer_bought
No,474.0,822.0,1104.0,183.0,8.0,3.0,227.0,45.0,No,0.67,0.93,0.0,No,No,No,305.0,539.0,884.0,1182.0,Yes,Yes
Yes,16.0,40.0,40.0,0.0,2.0,0.0,0.0,0.0,No,0.88,0.85,16.0,No,Yes,No,0.0,1.0,1.0,1.0,Yes,Yes
No,9.0,14.0,21.0,0.0,8.0,0.0,0.0,0.0,No,0.98,0.96,0.0,No,No,No,5.0,17.0,36.0,43.0,Yes,Yes
No,10.0,10.0,20.0,0.0,8.0,0.0,1.0,0.0,No,0.89,0.75,0.0,No,No,No,6.0,8.0,15.0,20.0,Yes,Yes
No,31.0,31.0,31.0,0.0,12.0,0.0,2.0,0.0,No,0.98,0.98,3.0,No,No,No,7.0,15.0,33.0,47.0,Yes,Yes
No,2.0,2.0,2.0,0.0,9.0,0.0,0.0,1.0,No,0.83,0.85,0.0,No,No,No,0.0,6.0,6.0,6.0,Yes,Yes
Yes,3.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,No,0.0,0.0,0.0,No,Yes,No,0.0,0.0,0.0,0.0,Yes,Yes
No,0.0,0.0,10.0,0.0,2.0,0.0,0.0,7.0,No,0.98,0.99,0.0,No,No,No,1.0,2.0,6.0,11.0,Yes,Yes
No,216.0,360.0,492.0,0.0,8.0,0.0,51.0,55.0,No,0.0,0.0,0.0,No,Yes,No,30.0,108.0,275.0,340.0,Yes,Yes
No,6.0,18.0,24.0,0.0,14.0,0.0,1.0,3.0,No,0.82,0.99,0.0,No,No,No,3.0,9.0,12.0,18.0,Yes,Yes
No,120.0,240.0,240.0,0.0,8.0,34.0,33.0,-34.0,No,0.97,1.0,0.0,No,No,No,83.0,122.0,144.0,165.0,Yes,Yes
No,0.0,15.0,15.0,0.0,4.0,0.0,0.0,5.0,No,0.94,0.95,0.0,No,No,No,3.0,5.0,8.0,12.0,Yes,Yes
No,0.0,6.0,12.0,0.0,2.0,0.0,0.0,3.0,No,0.97,0.95,0.0,No,No,No,2.0,8.0,14.0,19.0,Yes,Yes
No,36.0,64.0,100.0,0.0,8.0,0.0,0.0,3.0,No,0.94,0.96,0.0,No,No,No,13.0,34.0,65.0,91.0,Yes,Yes
No,12.0,26.0,38.0,0.0,0.0,0.0,1.0,3.0,No,0.0,0.0,0.0,No,Yes,No,5.0,16.0,29.0,42.0,No,Yes
No,43.0,67.0,115.0,0.0,9.0,0.0,4.0,4.0,No,0.68,0.69,0.0,No,No,No,5.0,22.0,40.0,58.0,Yes,Yes
No,6.0,10.0,14.0,0.0,8.0,0.0,0.0,0.0,No,0.94,0.96,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,Yes
No,37.0,51.0,86.0,24.0,8.0,0.0,27.0,33.0,No,0.66,0.79,0.0,No,No,No,18.0,40.0,94.0,132.0,Yes,Yes
No,26.0,36.0,51.0,0.0,0.0,1.0,1.0,-1.0,No,0.0,0.0,0.0,No,No,No,8.0,18.0,42.0,52.0,No,Yes
No,1.0,2.0,2.0,0.0,10.0,0.0,0.0,0.0,No,0.9,0.89,0.0,No,No,No,2.0,2.0,3.0,3.0,Yes,Yes
No,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,No,0.94,0.96,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,Yes
No,167.0,257.0,347.0,0.0,3.0,0.0,40.0,3.0,No,0.46,0.42,0.0,No,No,No,32.0,97.0,176.0,181.0,Yes,Yes
No,50.0,50.0,100.0,0.0,8.0,0.0,0.0,5.0,No,0.93,0.96,0.0,No,No,No,5.0,30.0,44.0,62.0,Yes,Yes
No,4.0,6.0,9.0,0.0,8.0,0.0,2.0,2.0,No,0.95,1.0,0.0,No,No,No,1.0,5.0,6.0,9.0,Yes,Yes
No,28.0,52.0,76.0,0.0,2.0,0.0,5.0,6.0,No,0.98,0.99,0.0,No,No,No,7.0,12.0,14.0,14.0,Yes,Yes
No,56.0,96.0,112.0,0.0,8.0,7.0,0.0,-7.0,No,0.92,0.97,0.0,No,No,No,13.0,30.0,56.0,76.0,Yes,Yes
No,3.0,5.0,7.0,0.0,2.0,0.0,0.0,1.0,No,0.82,0.77,0.0,No,No,No,1.0,2.0,7.0,8.0,Yes,Yes
No,2.0,4.0,6.0,0.0,8.0,0.0,0.0,1.0,No,0.66,0.79,0.0,No,No,No,0.0,2.0,3.0,4.0,Yes,Yes
No,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,No,0.68,0.69,0.0,No,No,No,2.0,5.0,5.0,5.0,Yes,Yes
No,2.0,6.0,8.0,0.0,2.0,0.0,0.0,2.0,No,0.81,0.99,0.0,No,No,No,1.0,3.0,6.0,12.0,Yes,Yes
Yes,0.0,0.0,0.0,0.0,2.0,0.0,0.0,112.0,No,0.79,0.86,0.0,No,No,No,13.0,513.0,513.0,513.0,Yes,Yes
No,42.0,85.0,107.0,0.0,8.0,0.0,10.0,3.0,No,0.34,0.15,0.0,No,No,No,17.0,30.0,53.0,88.0,Yes,Yes
No,5.0,9.0,13.0,0.0,8.0,0.0,0.0,2.0,No,0.48,0.84,0.0,No,Yes,No,1.0,5.0,8.0,11.0,Yes,Yes
No,165.0,294.0,412.0,1.0,8.0,0.0,47.0,12.0,No,0.89,0.87,0.0,No,No,No,32.0,131.0,256.0,373.0,Yes,Yes
No,30.0,30.0,30.0,0.0,8.0,0.0,0.0,12.0,No,0.99,0.99,0.0,No,No,No,1.0,1.0,4.0,16.0,Yes,Yes
No,4.0,6.0,8.0,0.0,2.0,0.0,0.0,0.0,No,0.6,0.6,0.0,No,No,No,2.0,2.0,5.0,11.0,Yes,Yes
No,10.0,17.0,24.0,0.0,8.0,0.0,0.0,2.0,No,0.16,0.2,0.0,No,No,No,0.0,9.0,12.0,19.0,Yes,Yes
No,5.0,10.0,15.0,0.0,2.0,0.0,0.0,7.0,No,0.99,0.99,0.0,No,No,No,2.0,6.0,15.0,22.0,Yes,Yes
Yes,5.0,7.0,7.0,0.0,2.0,0.0,0.0,0.0,No,0.68,0.69,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,Yes
No,0.0,48.0,96.0,0.0,9.0,0.0,14.0,42.0,No,0.95,1.0,0.0,No,No,No,7.0,29.0,46.0,91.0,Yes,Yes
No,0.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,No,0.8,0.79,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,Yes
No,2.0,4.0,5.0,0.0,8.0,0.0,0.0,1.0,No,0.94,0.96,0.0,No,No,No,1.0,2.0,3.0,6.0,Yes,Yes
Yes,6.0,18.0,18.0,0.0,2.0,0.0,0.0,35.0,No,1.0,1.0,0.0,No,No,No,6.0,10.0,10.0,10.0,Yes,Yes
No,1040.0,1280.0,1640.0,0.0,12.0,20.0,150.0,0.0,No,0.78,0.77,0.0,No,No,No,111.0,443.0,1035.0,1717.0,Yes,Yes
No,5.0,6.0,9.0,0.0,12.0,0.0,3.0,0.0,No,0.68,0.69,0.0,No,No,No,0.0,4.0,5.0,6.0,Yes,Yes
No,40.0,60.0,60.0,0.0,2.0,0.0,0.0,0.0,No,0.32,0.26,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,Yes
No,54.0,72.0,72.0,0.0,2.0,0.0,4.0,0.0,No,0.61,0.67,0.0,No,Yes,No,0.0,0.0,0.0,0.0,Yes,Yes
No,25.0,50.0,75.0,0.0,8.0,0.0,0.0,5.0,No,0.98,0.98,0.0,No,No,No,8.0,26.0,39.0,55.0,Yes,Yes
Yes,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,No,0.56,0.56,0.0,No,No,No,3.0,4.0,8.0,8.0,Yes,Yes
No,0.0,1.0,2.0,0.0,8.0,0.0,0.0,2.0,No,0.89,0.82,0.0,No,No,No,0.0,1.0,1.0,1.0,Yes,Yes
No,18.0,72.0,108.0,0.0,2.0,0.0,48.0,87.0,No,0.74,0.77,0.0,No,No,No,16.0,98.0,173.0,241.0,Yes,Yes
No,3.0,5.0,6.0,0.0,8.0,0.0,0.0,1.0,No,0.85,0.76,0.0,No,No,No,1.0,2.0,4.0,6.0,Yes,Yes
No,3.0,6.0,9.0,0.0,8.0,0.0,0.0,1.0,No,0.75,0.72,0.0,No,No,No,2.0,4.0,8.0,10.0,Yes,Yes
No,9.0,24.0,42.0,0.0,2.0,0.0,3.0,7.0,No,0.42,0.37,0.0,No,No,No,7.0,16.0,28.0,32.0,Yes,Yes
No,112.0,112.0,212.0,0.0,8.0,0.0,21.0,14.0,No,0.0,0.0,0.0,No,No,No,45.0,66.0,112.0,153.0,Yes,Yes
No,4.0,7.0,9.0,0.0,12.0,0.0,0.0,0.0,No,0.79,0.82,0.0,No,No,No,1.0,3.0,4.0,7.0,Yes,Yes
No,2416.0,3766.0,4866.0,5.0,5.0,412.0,250.0,-372.0,No,0.68,0.69,100.0,No,No,No,545.0,1302.0,2190.0,3447.0,Yes,Yes
No,3.0,4.0,4.0,0.0,8.0,0.0,0.0,1.0,No,0.66,0.79,0.0,No,No,No,1.0,3.0,4.0,8.0,Yes,Yes
No,7.0,7.0,7.0,0.0,2.0,0.0,0.0,0.0,No,0.13,0.1,0.0,No,No,No,0.0,0.0,0.0,1.0,Yes,Yes
No,7.0,21.0,28.0,7.0,4.0,0.0,5.0,15.0,No,0.66,0.79,0.0,No,No,No,0.0,9.0,10.0,18.0,Yes,Yes
No,12.0,24.0,36.0,0.0,2.0,0.0,5.0,15.0,No,0.95,1.0,0.0,No,No,No,0.0,9.0,16.0,19.0,Yes,Yes
No,32.0,70.0,103.0,0.0,2.0,0.0,0.0,0.0,No,-99.0,-99.0,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,Yes
No,0.0,3.0,3.0,0.0,3.0,0.0,0.0,4.0,No,0.9,0.89,0.0,No,No,No,3.0,6.0,12.0,18.0,Yes,Yes
No,26.0,40.0,54.0,0.0,8.0,0.0,1.0,3.0,No,0.96,0.94,0.0,No,Yes,No,4.0,11.0,16.0,25.0,Yes,Yes
No,3.0,6.0,10.0,3.0,2.0,0.0,0.0,0.0,No,0.94,0.96,0.0,No,No,No,0.0,5.0,10.0,11.0,Yes,Yes
Yes,5.0,5.0,5.0,0.0,4.0,0.0,0.0,0.0,No,0.68,0.69,0.0,No,Yes,No,0.0,0.0,0.0,0.0,Yes,Yes
No,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,No,0.91,0.93,0.0,No,No,No,0.0,0.0,0.0,6.0,Yes,Yes
No,40.0,60.0,100.0,0.0,8.0,0.0,8.0,9.0,No,0.97,0.98,0.0,No,No,No,18.0,36.0,58.0,102.0,Yes,Yes
No,3.0,6.0,8.0,1.0,2.0,0.0,0.0,1.0,No,0.87,0.82,0.0,No,Yes,No,1.0,2.0,2.0,2.0,Yes,Yes
No,1.0,3.0,4.0,0.0,12.0,0.0,1.0,1.0,No,0.83,0.81,0.0,No,No,No,4.0,5.0,10.0,16.0,Yes,Yes
No,25.0,25.0,37.0,0.0,8.0,0.0,0.0,0.0,No,0.96,0.92,0.0,No,No,No,40.0,45.0,50.0,84.0,Yes,Yes
No,3402.0,5508.0,7695.0,66.0,8.0,84.0,611.0,48.0,No,-99.0,-99.0,81.0,No,No,No,1198.0,2623.0,4789.0,6803.0,Yes,Yes
Yes,7.0,9.0,11.0,0.0,12.0,0.0,0.0,0.0,No,0.79,0.82,0.0,No,No,No,3.0,4.0,6.0,8.0,Yes,Yes
No,7.0,11.0,15.0,0.0,8.0,0.0,0.0,0.0,No,0.93,0.99,0.0,No,No,No,2.0,6.0,12.0,16.0,Yes,Yes
No,2.0,5.0,7.0,0.0,8.0,0.0,0.0,2.0,No,0.97,1.0,0.0,No,No,No,2.0,4.0,4.0,8.0,Yes,Yes
No,10.0,15.0,20.0,0.0,3.0,0.0,0.0,2.0,No,0.9,0.89,0.0,No,No,No,4.0,10.0,15.0,23.0,Yes,Yes
No,0.0,10.0,20.0,0.0,9.0,0.0,1.0,34.0,No,0.95,1.0,0.0,No,No,No,2.0,9.0,20.0,44.0,Yes,Yes
Yes,0.0,0.0,0.0,0.0,12.0,0.0,15.0,4.0,No,0.59,0.59,0.0,No,No,No,2.0,4.0,8.0,10.0,Yes,Yes
No,0.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,No,0.98,1.0,0.0,No,No,No,1.0,1.0,2.0,3.0,Yes,Yes
No,37.0,73.0,97.0,0.0,,0.0,0.0,3.0,No,-99.0,-99.0,0.0,No,No,No,8.0,28.0,55.0,78.0,Yes,Yes
Yes,9711.0,17237.0,19958.0,0.0,9.0,0.0,675.0,0.0,No,0.72,0.49,0.0,No,Yes,No,0.0,0.0,0.0,0.0,Yes,Yes
No,4.0,4.0,4.0,0.0,4.0,0.0,1.0,0.0,No,0.68,0.69,0.0,No,Yes,No,0.0,0.0,1.0,3.0,Yes,Yes
No,104.0,104.0,104.0,1.0,8.0,0.0,15.0,1.0,No,0.98,0.96,0.0,No,Yes,No,2.0,6.0,17.0,18.0,Yes,Yes
No,500.0,750.0,750.0,0.0,8.0,0.0,0.0,100.0,No,0.8,0.64,0.0,No,No,No,175.0,302.0,497.0,832.0,Yes,Yes
No,1.0,2.0,4.0,0.0,8.0,0.0,1.0,2.0,No,0.98,0.99,0.0,No,No,No,1.0,2.0,9.0,11.0,Yes,Yes
No,28.0,42.0,42.0,0.0,2.0,1.0,10.0,-1.0,No,0.9,0.99,0.0,No,No,No,13.0,16.0,24.0,35.0,Yes,Yes
No,6.0,12.0,15.0,0.0,2.0,0.0,0.0,0.0,No,0.95,0.98,0.0,No,No,No,2.0,9.0,13.0,18.0,Yes,Yes
No,2.0,3.0,4.0,0.0,8.0,0.0,0.0,1.0,No,0.0,0.0,1.0,No,No,No,1.0,1.0,2.0,4.0,Yes,Yes
Yes,1.0,4.0,4.0,0.0,2.0,0.0,1.0,8.0,No,0.59,0.59,0.0,No,Yes,No,0.0,0.0,0.0,0.0,Yes,Yes
No,0.0,0.0,50.0,0.0,2.0,0.0,1.0,7.0,No,0.85,0.79,0.0,No,No,No,1.0,4.0,5.0,5.0,Yes,Yes
Yes,72.0,144.0,228.0,0.0,2.0,0.0,0.0,1.0,No,0.68,0.87,8.0,No,No,No,6.0,12.0,13.0,13.0,Yes,Yes
Yes,5.0,8.0,8.0,0.0,3.0,0.0,0.0,5.0,No,0.39,0.5,0.0,No,Yes,No,4.0,4.0,4.0,4.0,Yes,Yes
No,352.0,442.0,442.0,0.0,2.0,0.0,62.0,0.0,No,0.74,0.88,0.0,No,No,No,0.0,0.0,2.0,2.0,Yes,Yes
No,1200.0,2112.0,2864.0,0.0,2.0,0.0,136.0,0.0,No,0.79,0.92,0.0,No,Yes,No,0.0,0.0,0.0,0.0,No,Yes
No,4.0,7.0,8.0,0.0,2.0,0.0,0.0,0.0,No,0.35,0.46,0.0,No,Yes,No,0.0,0.0,0.0,0.0,Yes,Yes
No,24.0,48.0,72.0,0.0,2.0,0.0,2.0,9.0,No,0.82,0.98,0.0,No,No,No,4.0,22.0,56.0,78.0,Yes,Yes
No,8.0,28.0,51.0,0.0,2.0,0.0,0.0,10.0,No,0.8,0.97,0.0,No,No,No,6.0,27.0,71.0,82.0,Yes,Yes
No,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,No,0.93,0.91,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,Yes
Yes,5.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,No,0.0,0.0,0.0,No,Yes,No,0.0,0.0,0.0,0.0,Yes,Yes
No,10.0,10.0,10.0,0.0,8.0,0.0,2.0,1.0,No,0.99,0.99,0.0,No,No,No,2.0,10.0,17.0,20.0,Yes,Yes
No,360.0,360.0,540.0,0.0,8.0,30.0,125.0,-30.0,No,0.15,0.15,0.0,No,No,No,0.0,110.0,398.0,773.0,Yes,Yes
No,24.0,48.0,72.0,0.0,8.0,0.0,6.0,6.0,No,0.94,0.97,0.0,No,No,No,9.0,34.0,59.0,73.0,Yes,Yes
No,10.0,10.0,10.0,0.0,12.0,0.0,0.0,2.0,No,0.0,0.0,0.0,No,No,No,0.0,0.0,2.0,5.0,Yes,Yes
No,8.0,19.0,26.0,0.0,8.0,0.0,2.0,2.0,No,0.97,0.99,0.0,No,No,No,4.0,7.0,15.0,21.0,Yes,Yes
No,0.0,0.0,0.0,0.0,2.0,0.0,67.0,39.0,No,0.99,1.0,0.0,No,No,No,62.0,196.0,282.0,328.0,Yes,Yes
No,0.0,1.0,2.0,0.0,3.0,0.0,0.0,2.0,No,0.68,0.69,0.0,No,No,No,0.0,0.0,1.0,1.0,Yes,Yes
No,35.0,73.0,107.0,1.0,4.0,0.0,0.0,5.0,No,0.9,0.84,0.0,No,No,No,13.0,33.0,70.0,75.0,Yes,Yes
Yes,0.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,No,0.66,0.79,0.0,No,Yes,No,7.0,12.0,44.0,44.0,Yes,Yes
Yes,5.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,No,0.0,0.0,0.0,No,Yes,No,0.0,0.0,0.0,0.0,Yes,Yes
No,4.0,12.0,16.0,0.0,8.0,0.0,0.0,4.0,No,0.62,0.61,0.0,No,Yes,No,6.0,12.0,15.0,15.0,Yes,Yes
No,3.0,5.0,7.0,0.0,8.0,0.0,1.0,0.0,No,0.78,0.84,0.0,No,Yes,No,0.0,2.0,4.0,5.0,Yes,Yes
No,138.0,184.0,184.0,0.0,,0.0,19.0,0.0,No,-99.0,-99.0,0.0,No,Yes,No,0.0,0.0,0.0,0.0,Yes,Yes
No,4.0,10.0,12.0,0.0,12.0,0.0,0.0,3.0,No,0.69,0.64,0.0,No,No,No,2.0,5.0,15.0,21.0,Yes,Yes
No,25.0,45.0,63.0,0.0,8.0,0.0,0.0,2.0,No,0.53,0.48,4.0,No,No,No,7.0,26.0,47.0,64.0,Yes,Yes
Yes,6.0,12.0,18.0,0.0,2.0,0.0,0.0,11.0,No,0.34,0.31,0.0,No,No,No,4.0,19.0,25.0,30.0,Yes,Yes
No,163.0,197.0,231.0,0.0,12.0,0.0,0.0,0.0,No,0.69,0.73,0.0,No,No,No,0.0,52.0,112.0,162.0,Yes,Yes
No,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,No,-99.0,-99.0,0.0,No,No,No,3.0,10.0,22.0,23.0,Yes,Yes
No,20.0,30.0,42.0,1.0,8.0,0.0,10.0,4.0,No,0.47,0.24,2.0,No,No,No,9.0,19.0,40.0,60.0,Yes,Yes
No,9.0,15.0,21.0,3.0,8.0,0.0,6.0,2.0,No,0.99,1.0,0.0,No,No,No,3.0,11.0,16.0,28.0,Yes,Yes
No,290.0,514.0,668.0,5.0,8.0,0.0,89.0,96.0,No,0.23,0.23,18.0,No,No,No,45.0,197.0,465.0,791.0,Yes,Yes
No,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,No,0.98,0.99,0.0,No,No,No,1.0,2.0,3.0,3.0,Yes,Yes
No,24.0,72.0,96.0,0.0,2.0,0.0,4.0,12.0,No,0.35,0.46,0.0,No,No,No,6.0,22.0,39.0,55.0,Yes,Yes
Yes,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,No,0.95,0.98,0.0,No,No,No,1.0,3.0,6.0,6.0,Yes,Yes
No,12.0,12.0,12.0,0.0,9.0,0.0,1.0,0.0,No,0.98,0.99,0.0,No,No,No,0.0,0.0,2.0,6.0,Yes,Yes
No,14.0,29.0,44.0,7.0,8.0,0.0,4.0,6.0,No,0.41,0.51,0.0,No,No,No,14.0,26.0,50.0,66.0,Yes,Yes
No,11.0,20.0,24.0,0.0,2.0,0.0,0.0,0.0,No,0.75,0.7,8.0,No,Yes,No,0.0,0.0,0.0,0.0,Yes,Yes
No,6.0,12.0,20.0,0.0,2.0,0.0,0.0,7.0,No,1.0,1.0,0.0,No,No,No,2.0,6.0,27.0,48.0,Yes,Yes
No,4.0,5.0,6.0,0.0,8.0,0.0,0.0,1.0,No,0.34,0.15,0.0,No,No,No,2.0,4.0,6.0,9.0,Yes,Yes
No,3.0,4.0,5.0,0.0,9.0,0.0,0.0,0.0,No,0.99,1.0,0.0,No,No,No,0.0,2.0,2.0,2.0,Yes,Yes
No,65.0,65.0,65.0,0.0,8.0,0.0,62.0,9.0,No,0.97,0.98,0.0,No,No,No,36.0,114.0,173.0,202.0,Yes,Yes
No,147.0,266.0,387.0,1.0,8.0,0.0,80.0,45.0,No,0.89,0.87,9.0,Yes,Yes,No,31.0,105.0,219.0,354.0,Yes,Yes
No,48.0,72.0,120.0,0.0,8.0,0.0,0.0,1.0,No,0.88,0.98,0.0,No,No,No,12.0,26.0,56.0,76.0,Yes,Yes
No,6.0,12.0,18.0,0.0,8.0,0.0,0.0,9.0,No,0.9,0.95,0.0,No,No,No,2.0,6.0,12.0,16.0,Yes,Yes
No,70.0,100.0,100.0,0.0,8.0,0.0,13.0,0.0,No,0.88,0.81,0.0,No,Yes,No,0.0,0.0,0.0,0.0,Yes,Yes
No,3.0,5.0,9.0,0.0,3.0,0.0,0.0,1.0,No,0.98,0.99,0.0,No,No,No,1.0,3.0,5.0,8.0,Yes,Yes
Yes,11.0,20.0,24.0,0.0,2.0,0.0,0.0,0.0,No,0.67,0.64,0.0,No,Yes,No,0.0,0.0,0.0,0.0,Yes,Yes
No,26.0,39.0,52.0,0.0,3.0,0.0,0.0,0.0,No,0.39,0.5,0.0,No,No,No,9.0,23.0,40.0,53.0,Yes,Yes
No,29.0,60.0,80.0,0.0,12.0,0.0,10.0,1.0,No,0.75,0.83,0.0,No,No,No,5.0,36.0,53.0,97.0,Yes,Yes
No,480.0,768.0,1008.0,7.0,12.0,52.0,73.0,0.0,No,0.96,0.98,0.0,No,No,No,252.0,423.0,649.0,916.0,Yes,Yes
No,2.0,5.0,5.0,6.0,2.0,0.0,2.0,10.0,No,0.42,0.37,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,Yes
Yes,11.0,11.0,11.0,0.0,2.0,0.0,0.0,0.0,No,0.12,0.12,0.0,No,No,No,0.0,0.0,0.0,0.0,Yes,Yes
Yes,17.0,25.0,32.0,5.0,9.0,0.0,0.0,1.0,No,0.74,0.91,0.0,No,No,No,2.0,6.0,6.0,6.0,Yes,Yes
No,325.0,625.0,1225.0,0.0,8.0,0.0,0.0,150.0,No,0.93,0.99,0.0,No,No,No,196.0,438.0,949.0,1243.0,Yes,Yes
Yes,12.0,18.0,18.0,0.0,4.0,0.0,0.0,0.0,No,0.78,0.82,0.0,No,Yes,No,0.0,0.0,0.0,0.0,Yes,Yes
No,43.0,49.0,82.0,0.0,8.0,0.0,7.0,8.0,No,0.34,0.15,0.0,No,No,No,8.0,30.0,59.0,85.0,Yes,Yes
Yes,5.0,7.0,7.0,0.0,12.0,0.0,0.0,0.0,No,0.73,0.62,0.0,No,No,No,0.0,0.0,0.0,1.0,Yes,Yes
No,9.0,10.0,12.0,0.0,9.0,0.0,0.0,0.0,No,0.68,0.69,0.0,No,No,No,1.0,4.0,6.0,10.0,Yes,Yes
